Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 ,target, CO 
Sương mù,10°C,95%,1.6 km/h,1020 mbar,8.6,,,,,Tốt,
Nhiều mây,2°C,79%,6.4 km/h,1019 mbar,17.5,,,,,Trung bình,
Nhiều mây,0°C,83%,9.6 km/h,1023 mbar,4.4,,,,,Tốt,
Trời quang,14°C,1%,13.9 km/h,1021 mbar,36,48,63,29,5,Không lành mạnh cho các nhóm nhạy cảm,800
Nhiều mây,24°C,64%,12.4 km/h,1012 mbar,33.2*,,,,,Trung bình,
Trời quang,7°C,54%,13.3 km/h,1022 mbar,44,63,53,29,7,Không lành mạnh cho các nhóm nhạy cảm,550
Trời quang,11°C,68%,1.8 km/h,1015 mbar,41,69,32.5,48,10.5,Không lành mạnh cho các nhóm nhạy cảm,1450
Mây rải rác,22°C,92%,5.5 km/h,1012 mbar,30,,,,,Trung bình,
Trời quang,7°C,72%,4.1 km/h,1027 mbar,69.5,106,52.5,36,9.5,Không lành mạnh,1005.5
Trời quang,10°C,51%,9.3 km/h,1021 mbar,51,88,106.5,22,6,Không lành mạnh cho các nhóm nhạy cảm,600
Trời quang,-7°C,51%,23.2 km/h,1013 mbar,24,201,61,7.5,6,Không lành mạnh cho các nhóm nhạy cảm,400
Nhiều mây,25°C,67%,16.9 km/h,1010 mbar,16.2,17,,,,Trung bình,
Mây rải rác,9°C,78%,3.3 km/h,1025 mbar,84,126,14,51.5,12,Không lành mạnh,1000
Trời quang,10°C,53%,2.7 km/h,1016 mbar,37.5,45.5,34.5,25.5,7,Không lành mạnh cho các nhóm nhạy cảm,650
Nhiều mây,14°C,77%,7.8 km/h,1011 mbar,23.5,45.5,45.2,,,Trung bình,
Nhiều mây,-6°C,52%,14.9 km/h,1029 mbar,64,174,33,11,11,Không lành mạnh,
Mây rải rác,-9°C,39%,9 km/h,1035 mbar,43,114,58,26,9,Không lành mạnh cho các nhóm nhạy cảm,300
Trời quang,10°C,31%,7.7 km/h,1018 mbar,11.1*,,,,,Tốt,
Trời quang,1°C,87%,5.5 km/h,1029 mbar,35.8,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,4°C,60%,3.7 km/h,1019 mbar,73.3,,,,,Không lành mạnh,
Trời quang,6°C,31%,7.2 km/h,1027 mbar,90,148,47,37,8,Không lành mạnh,900
Nhiều mây,17°C,36%,2.6 km/h,1017 mbar,16.1*,,,,,Trung bình,
Nhiều mây,-24°C,92%,24.8 km/h,1038 mbar,23,,,,,Trung bình,
Trời quang,22°C,57%,16.1 km/h,1016 mbar,19,,,,,Trung bình,
Trời quang,5°C,42%,5.9 km/h,1027 mbar,60.5,103.5,26,70,10.5,Không lành mạnh,800
Mây rải rác,28°C,58%,9.3 km/h,1011 mbar,12,,,,,Tốt,
Nhiều mây,24°C,50%,21.6 km/h,1013 mbar,12.2,20.3,72.6,9.4,2.7,Trung bình,
Trời quang,1°C,34%,8.7 km/h,1025 mbar,61,183,5.5,76.5,19.5,Không lành mạnh,1400
Trời quang,4°C,43%,8.7 km/h,1027 mbar,54.5,148,32,60,6.5,Không lành mạnh cho các nhóm nhạy cảm,600
Trời quang,-3°C,31%,13.7 km/h,1028 mbar,38,196.5,5,65,8,Không lành mạnh cho các nhóm nhạy cảm,600
Ít mây,-5°C,36%,10.2 km/h,1019 mbar,23,90,48,12,8,Trung bình,600
Nhiều mây,20°C,42%,8.6 km/h,1013 mbar,7.8,,,,,Tốt,
Nhiều mây,-5°C,43%,8.6 km/h,1026 mbar,45,151,54,26,16,Không lành mạnh cho các nhóm nhạy cảm,590
Ít mây,19°C,33%,16.6 km/h,1016 mbar,32.4,,,,,Trung bình,
Tuyết,-1°C,88%,6.1 km/h,1012 mbar,33,39.3,,,8.7,Trung bình,
Nhiều mây,20°C,42%,8.6 km/h,1013 mbar,7.8,,,,,Tốt,
Nhiều mây,0°C,90%,20.4 km/h,1002 mbar,29.9,,,,,Trung bình,
Nhiều mây,-10°C,50%,15.9 km/h,1028 mbar,30,221,65,18.5,7.5,Không lành mạnh cho các nhóm nhạy cảm,350
Mây rải rác,-5°C,44%,7.3 km/h,1031 mbar,84,362.5,26,43,27.5,Rất không lành mạnh,700
Nhiều mây,-5°C,38%,14.3 km/h,1020 mbar,21,42.5,57.5,17,10.5,Trung bình,550
Mây rải rác,10°C,80%,1.9 km/h,1016 mbar,63.7,,,,,Không lành mạnh,
Nhiều mây,7°C,66%,1.8 km/h,1016 mbar,66.3,112.1,81.4,,,Không lành mạnh,0
Ít mây,12°C,82%,7.4 km/h,1017 mbar,56.2*,,,,,Không lành mạnh,
Trời quang,-8°C,57%,6.3 km/h,1038 mbar,37.5,143.5,25,57,6,Không lành mạnh cho các nhóm nhạy cảm,800
Nhiều mây,-13°C,87%,5 km/h,1025 mbar,46.9,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,8°C,41%,5.7 km/h,1017 mbar,15.1*,,,,,Trung bình,
Mưa,12°C,84%,36.7 km/h,1006 mbar,1,,,5,,Tốt,
Trời quang,3°C,55%,11.1 km/h,1008 mbar,5,18,52,19,,Tốt,
Mây rải rác,-9°C,86%,4.5 km/h,1035 mbar,8.1*,,,,,Tốt,
Trời quang,6°C,68%,3.9 km/h,1026 mbar,92,128,48,44,6,Không lành mạnh,669
Trời quang,9°C,40%,14.9 km/h,1023 mbar,47,81,84,36,9,Không lành mạnh cho các nhóm nhạy cảm,500
Nhiều mây,28°C,77%,18.5 km/h,1011 mbar,31.2*,,,,,Trung bình,
Trời quang,4°C,44%,3.6 km/h,1028 mbar,62,93,38,35,5,Không lành mạnh,900
Mây rải rác,-1°C,89%,6.2 km/h,1020 mbar,68,97,62,36,14,Không lành mạnh,800
Nhiều mây,23°C,85%,2.9 km/h,1013 mbar,53,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,4°C,69%,6.2 km/h,1027 mbar,62,100,44,28,5,Không lành mạnh,771
Trời quang,6°C,68%,7.5 km/h,1026 mbar,68,107,59,38.5,2.5,Không lành mạnh,774
Nhiều mây,6°C,60%,14.3 km/h,1020 mbar,44.2,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Trời quang,15°C,44%,22.4 km/h,1021 mbar,68,93,98,28,12,Không lành mạnh,750
Nhiều mây,13°C,70%,6.1 km/h,1006 mbar,12.8,,,,,Trung bình,
Ít mây,24°C,82%,6.9 km/h,1009 mbar,24.1*,,,,,Trung bình,
Nhiều mây,1°C,54%,6.9 km/h,1012 mbar,32,,,,,Trung bình,
Ít mây,21°C,35%,20.4 km/h,1023 mbar,12.2,,,,,Trung bình,
Nhiều mây,1°C,71%,22 km/h,1005 mbar,15.3,,,,,Trung bình,
Nhiều mây,3°C,83%,6.2 km/h,1010 mbar,38.9,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,20°C,52%,9.3 km/h,1013 mbar,17.1*,,,,,Trung bình,
Nhiều mây,0°C,72%,15 km/h,1007 mbar,12,15.1,36.3,9.2,1.5,Tốt,
Trời quang,27°C,26%,16.7 km/h,1013 mbar,15.1*,,,,,Trung bình,
Nhiều mây,34°C,37%,11.6 km/h,1008 mbar,27.2*,,,,,Trung bình,
Nhiều mây,-13°C,62%,23.1 km/h,1027 mbar,64,419.5,68.5,6.5,11.5,Rất không lành mạnh,300
Nhiều mây,8°C,75%,7.7 km/h,1005 mbar,3.1*,,,,,Tốt,
Nhiều mây,-12°C,61%,27.4 km/h,1007 mbar,15,51.5,43.5,4,5.5,Trung bình,400
Trời quang,8°C,50%,2.3 km/h,1023 mbar,39,60,49,48,8.5,Không lành mạnh cho các nhóm nhạy cảm,850
Mây rải rác,7°C,53%,32.5 km/h,1019 mbar,53.2,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Nhiều mây,9°C,86%,7.9 km/h,1011 mbar,25,51.2,,,15.4,Trung bình,
Nhiều mây,9°C,72%,4.1 km/h,1004 mbar,3.1*,,,,,Tốt,
Nhiều mây,27°C,48%,10 km/h,1012 mbar,19.2,22.4,,1.3,5.2,Trung bình,
Mưa,25°C,92%,6 km/h,1010 mbar,17.7,,,,,Trung bình,
Trời quang,6°C,83%,2 km/h,1026 mbar,58,79,45,30,13,Không lành mạnh,1400
Mây rải rác,-9°C,72%,11.4 km/h,1017 mbar,33.5,78,57,14,11.5,Trung bình,1000
Nhiều mây,25°C,94%,13 km/h,1010 mbar,34.3,,,,,Trung bình,
Nhiều mây,22°C,73%,6.7 km/h,1013 mbar,38.2*,,,,,Không lành mạnh cho các nhóm nhạy cảm,
Mưa,25°C,89%,5.5 km/h,1008 mbar,8.4,,,,,Tốt,
Nhiều mây,20°C,88%,4 km/h,1012 mbar,80.2*,,,,,Không lành mạnh,
Trời quang,27°C,27%,16.7 km/h,997 mbar,15.5,,,,,Trung bình,
Mây rải rác,1°C,64%,7.4 km/h,1011 mbar,26.6,,,,,Trung bình,
Nhiều mây,8°C,37%,6.9 km/h,1016 mbar,15.1*,,,,,Trung bình,
Nhiều mây,30°C,57%,17.9 km/h,1008 mbar,24,,,,,Trung bình,
Nhiều mây,9°C,73%,5.9 km/h,1024 mbar,71,79,81,19,10,Không lành mạnh,700
Trời quang,-20°C,99%,7 km/h,1028 mbar,4.1*,,,,,Tốt,
Nhiều mây,21°C,57%,6.5 km/h,1012 mbar,31.9,70,86.2,16.7,2.6,Trung bình,
Ít mây,2°C,53%,14.7 km/h,1018 mbar,15,21,,,,Trung bình,
Mây rải rác,17°C,91%,2.3 km/h,1015 mbar,34.3,,,,,Trung bình,
Nhiều mây,8°C,69%,5.4 km/h,1021 mbar,46.5,52.5,32.5,38.5,4,Không lành mạnh cho các nhóm nhạy cảm,950
Trời quang,7°C,77%,5.8 km/h,1017 mbar,28,45,54,17,5,Trung bình,700
Trời quang,2°C,66%,3.3 km/h,1007 mbar,28.2*,,,,,Trung bình,
Nhiều mây,13°C,58%,7.4 km/h,1012 mbar,52.4,73,0,,,Không lành mạnh cho các nhóm nhạy cảm,0
Sương mù,25°C,69%,9.3 km/h,1010 mbar,27.2*,,,,,Trung bình,
Nhiều mây,5°C,93%,7.4 km/h,1009 mbar,3.5,,,,,Tốt,
Nhiều mây,-2°C,83%,13.5 km/h,1014 mbar,15,,,,,Trung bình,
Nhiều mây,25°C,73%,9 km/h,1012 mbar,2,,,,,Tốt,
Nhiều mây,1°C,53%,9.3 km/h,1012 mbar,20.1,22.8,,12.1,23.4,Trung bình,
Trời quang,7°C,90%,4 km/h,1016 mbar,25,30,57.5,8,5,Trung bình,550
Mây rải rác,5°C,93%,5.8 km/h,1019 mbar,28,34,41,14,6,Trung bình,850
Trời quang,9°C,76%,7.7 km/h,1022 mbar,52,57.5,61.5,17,7,Không lành mạnh cho các nhóm nhạy cảm,850
Trời quang,15°C,60%,6.7 km/h,1020 mbar,62.5,,,,,Không lành mạnh,
